,Date.of.Finan..cial.Period.Before.Offer,Issue.Date,Issuer,Business.Description,Nation,Ticker.Symbol,Principal.Amount....mil.,Proceeds,Offer.Price,Type.of.Security,IPO.Flag..Y.N.,Notable VC,Investment.Bank..Lead.Left.,Additional.Lead.Underwriters,Total.VC.Funding.Raised,Age.of.Firm,Total.Revenues.in.Previous.Year,Total.Revenues.Last.Reported,Selling.and.Marketing,Total.Operating.Expenses,Net.Income,Net.Income.Margin,Long.Term.Debt,Total.Assets,Long.Term.Debt.to.Total.Asset.Ratio,HalfYearChange,X..Stock...Price..180.Days...After...Offer,market_performance,VIX_before,OneDayChange,FirstDayClose
33,09/30/11,12/15/11,Zynga Inc,Pvd online social gaming svcs,United States,ZNGA,1000.0,1000.0,10.0,Class A Shares,Yes,"Institutional Venture Partners
Institutional Venture Partners
Foundry Group LLC
Kleiner Perkins
Avalon Ventures, LLC
Avalon Ventures, LLC
Union Square Ventures LLC
Avalon Ventures, LLC
Union Square Ventures LLC
Union Square Ventures LLC
Union Square Ventures LLC
Avalon Ventures, LLC
Union Square Ventures LLC
Undisclosed Firm
SoftBank Group Corp
Undisclosed Firm
Andreessen Horowitz LLC
Institutional Venture Partners
Kleiner Perkins
Union Square Ventures LLC
Foundry Group LLC
Avalon Ventures, LLC
Coatue Management L L C
Undisclosed Firm
Foundry Group LLC
Foundry Group LLC
Foundry Group LLC
Foundry Group LLC
SoftBank Group Corp
Globespan Capital Partners
Kleiner Perkins
Foundry Group LLC
Tiger Global Management LLC
Union Square Ventures LLC
Union Square Ventures LLC
Kleiner Perkins
Union Square Ventures LLC
Foundry Group LLC
Avalon Ventures, LLC
Kleiner Perkins
Kleiner Perkins
Silver Lake Partners LP
Undisclosed Firm
Institutional Venture Partners
Andreessen Horowitz LLC
Undisclosed Firm",,,"873,912.3",,,,,,,,,,,,,,,,
34,10/31/11,1/24/12,Guidewire Software Inc,Pvd core system software svcs,United States,GWRE,115.05,115.1,13,Common Shares,Yes,"Bay Partners
Bay Partners
U.S. Venture Partners
Bay Partners
Bay Partners
Bay Partners
Bay Partners
U.S. Venture Partners
U.S. Venture Partners
Bay Partners
Bay Partners
Battery Ventures LP
Battery Ventures LP",JP Morgan,2,"24,193.0",NA,144.691,172.47,28.95,97.26,35.56,20.62%,0,72,0.00%,96,25.48,0.039291715,18.91,31.69%,17.120001
35,12/31/11,2/9/12,Synacor Inc,Dvlp Internet software,United States,SYNC,34.091,34.1,5,Common Shares,Yes,"Rand Capital Corp
Rand Capital Corp
Undisclosed Firm
Undisclosed Firm
Walden International
Crystal Ventures
Garage Technology Ventures LLC
Redwood Venture Partners
Proseed Capital Hldg
Heller Ehrman LLP
Mitsui & Co. Global Investment, Ltd.
Advantage Capital Partners
Intel Capital Corp
Intel Capital Corp
Advantage Capital Partners
Crystal Ventures
Rand Capital Corp
Advantage Capital Partners
Intel Capital Corp
Tech Ventures  Inc
Crystal Ventures
Crystal Ventures
Walden International
Crystal Ventures
North Atlantic Capital Corp
Intel Capital Corp
Mitsui & Co. Global Investment, Ltd.
Walden International
Walden International
Walden International
Crystal Ventures
Walden International
North Atlantic Capital Corp
Rand Capital Corp
Undisclosed Firm
Intel Capital Corp
Rand Capital Corp
Pliant Corp
Undisclosed Firm
Undisclosed Firm",Bank of America,2,"54,030.3",NA,60.798,66.23,6.21,69.57,-3.59,-5.42%,0,45,0.00%,98.6,9.93,0.048245921,18.629999,24.40%,6.22
36,12/31/11,2/23/12,Proto Labs Inc,Mnfr prototype plastic parts,United States,PRLB,68.8,68.8,16,Common Shares,Yes,"Undisclosed Firm
Undisclosed Firm
North Bridge Venture Partners LP",Morgan Stanley,1,"69,740.0",NA,64.919,98.94,15.75,32.75,17.97,18.16%,0.61,58,0.98%,106.25,33,0.039327535,16.799999,81.25%,29
37,12/31/11,3/28/12,CafePress Inc,"Own,op e-commerce platform",United States,PRSS,85.5,85.5,19,Common Shares,Yes,"Institutional Venture Partners
Undisclosed Firm
PacRim Venture Partners
Staenberg Venture Partners
New Millennium Partners L P
Undisclosed Firm
PacRim Venture Partners
Undisclosed Firm
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC",JP Morgan,2,"23,800.1",NA,103.493,127.93,26.46,51.18,2.72,2.13%,0.05,76,0.06%,-51.05,9.3,0.024132378,15.47,17.00%,22.23
38,3/31/12,4/19/12,Proofpoint Inc,Dvlp email sec software,United States,PFPT,82.282,82.3,13,Common Shares,Yes,"Leland Stanford Junior University
Bridgescale Partners LP
Benchmark Capital
Undisclosed Firm
Meritech Capital Partners
Mohr Davidow Ventures
Rre Ventures LLC
Icon Ventures
Duff Ackerman & Goodrich LLC
Benchmark Capital
Bridgescale Partners LP
Undisclosed Firm
Icon Ventures
Meritech Capital Partners
Mohr Davidow Ventures
Rre Ventures LLC
Benchmark Capital
Benchmark Capital
Benchmark Capital
Benchmark Capital
Mohr Davidow Ventures
Mohr Davidow Ventures
Mohr Davidow Ventures
Mohr Davidow Ventures
Meritech Capital Partners
Meritech Capital Partners
Meritech Capital Partners
Benchmark Capital
Rre Ventures LLC
Mohr Davidow Ventures
Leland Stanford Junior University
Undisclosed Firm
Icon Ventures
Icon Ventures
Rre Ventures LLC
Rre Ventures LLC
Redwood Partners Ltd
Rre Ventures LLC
Lighthouse Capital Partners  LP",Credit Suisse,1,"102,492.3",NA,64.79,81.84,42.68,71.69,-20.14,-24.61%,4.53,62,7.00%,4.85,13.63,-0.019367708,18.360001,8.31%,14.08
39,3/31/12,5/17/12,Facebook Inc,Internet Service Providers,United States,FB,"16,006.88",16006.9,38,Class A Shares,Yes,"Greylock Partners LLC
Hercules Capital Inc
Undisclosed Firm
Accel Partners & Co Inc
Goldman Sachs & Co LLC
Kleiner Perkins
Microsoft Corp
Elevation Partners LP
Elevation Partners LP
Global Founders Capital Management GmbH
Meritech Capital Partners
Undisclosed Firm
Millennium TVP Management Co LLC
Millennium TVP Management Co LLC
Band of Angles LLC
Mail.Ru Group Ltd
Mail.Ru Group Ltd
Meritech Capital Partners
TriplePoint Capital LLC
Founders Fund, The
Andreessen Horowitz LLC
Undisclosed Firm
Undisclosed Firm
Technology Crossover Ventures LP
Andreessen Horowitz LLC
Mail.Ru Group Ltd
Technology Crossover Ventures LP
Technology Crossover Ventures LP
Greylock Partners LLC
Accel Partners & Co Inc
Founders Fund, The",Morgan Stanley,2,"2,181,308.0",NA,1974,3711,427,1955,1000,26.95%,0,53,0.00%,-41.16,22.36,-0.059102681,24.49,0.61%,38.23
40,4/30/12,7/19/12,Palo Alto Networks Inc,Computer Systems Design Services,United States,PANW,260.4,260.4,42,Common Shares,Yes,"Warner Media, LLC.
General Catalyst Partners LLC
Oak Investment Partners
Institutional Venture Partners
General Catalyst Partners LLC
General Catalyst Partners LLC
General Catalyst Partners LLC
General Catalyst Partners LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Trident Capital
Norwest Venture Partners
Oak Investment Partners
Lehman Brothers Venture Partners LP
General Catalyst Partners LLC
Accel Partners & Co Inc
General Catalyst Partners LLC
Sequoia Capital Operations LLC
General Catalyst Partners LLC
General Catalyst Partners LLC
Sequoia Capital Operations LLC
Accel Partners & Co Inc",Morgan Stanley,2,"228,422.0",NA,48.782,118.6,62.25,96.73,-12.53,-10.56%,0,21,0.00%,30.36,54.75,0.014959462,15.45,26.50%,53.130001
41,6/30/12,7/19/12,KAYAK Software Corp,Pvd online travel info svc,United States,KYAK,91,91,26,Class A Shares,Yes,"Lehman Brothers Venture Partners LP
Sequoia Capital Operations LLC
Greylock Partners LLC
Greylock Partners LLC
Globespan Capital Partners
Sequoia Capital Operations LLC
Greylock Partners LLC
Sequoia Capital Operations LLC
Northgate Capital LLC
Icon Ventures
Greylock Partners LLC
Sequoia Capital Operations LLC
Icon Ventures
Northgate Capital LLC
Globespan Capital Partners
Globespan Capital Partners
Lehman Brothers Venture Partners LP
Greylock Partners LLC
Sequoia Capital Operations LLC",Morgan Stanley,1,"64,400.2",NA,112.698,128.28,69.14,113.21,6.16,4.80%,0,33,0.00%,55.65,40.47,0.014959462,15.45,27.62%,33.18
42,5/31/12,7/25/12,E2open Inc,Pvd software solution,United States,EOPN,70.313,70.3,15,Common Shares,Yes,"Crossmark Capital
Undisclosed Firm
Undisclosed Firm
Insight Venture Management LLC
Insight Venture Management LLC
Crosspoint Venture Partners 2001 LP
JK&B Capital LLC
Insight Venture Management LLC
Undisclosed Firm
Insight Venture Management LLC
Crosspoint Venture Partners 2001 LP
Crossmark Capital
Insight Venture Management LLC
Insight Venture Management LLC
Undisclosed Firm
GENERAL ATOM(TOSHIBA CORP)
Undisclosed Firm
International Business Machines Corp
Matsushita Electric Corp Of America
LG Electronics Inc
Nortel Networks Corp
Alcatel-Lucent Ventures
Crossmark Capital
Seagate Technology LLC
Crosspoint Venture Partners 2001 LP
Hitachi America Ltd
Crossmark Capital
Crosspoint Venture Partners 2001 LP
Undisclosed Firm
JK&B Capital LLC
Crosspoint Venture Partners 2001 LP
Invesco Private Capital Inc
Seagate Technology LLC
Undisclosed Firm
Undisclosed Firm
Insight Venture Management LLC",Bank of America,0,"389,649.9",NA,44.377,55.523,12.76,29.28,6.64,16.84%,1.67,32,5.62%,19.53,17.93,0.020103563,19.34,-9.33%,13.6
43,6/30/12,8/2/12,Globus Medical Inc,"Mnfr medical device,instrument",United States,GMED,100,100,12,Class A Shares,Yes,"Undisclosed Firm
Goldman Sachs & Co LLC
Goldman Sachs & Co LLC
Sunamerica Ventures
Goldman Sachs & Co LLC
Undisclosed Firm
Blackstone Life Sciences
Goldman Sachs & Co LLC
Undisclosed Firm",Bank of America,3,"110,000.0",NA,288.195,331.48,NA,165.32,60.78,18.34%,0,42,0.00%,4.92,12.59,-0.005603704,17.57,12.50%,13.5
44,9/30/12,10/2/12,LifeLock Inc,Dvlp Internet software,United States,LOCK,141.3,141.3,9,Common Shares,Yes,"Bessemer Venture Partners
Undisclosed Firm
Kleiner Perkins
Bessemer Venture Partners
Kleiner Perkins
Bessemer Venture Partners
Biltmore Ventures, L.P.
Kleiner Perkins
Goldman Sachs & Co LLC
Kleiner Perkins
Cross Creek Capital LP
Goldman Sachs & Co LLC
Industry Ventures LLC
Bessemer Venture Partners
Kleiner Perkins
Bessemer Venture Partners
Undisclosed Firm
Bessemer Venture Partners
Great Hill Equity Partners LLC
Oracle America Inc
Bessemer Venture Partners
Kleiner Perkins
NortonLifeLock Inc
Institutional Venture Partners
Crossroads Liquidating Trust
Undisclosed Firm
Undisclosed Firm
Bessemer Venture Partners",Goldman Sachs,2,"213,060.9",NA,162.279,193.95,91.22,126.48,-4.26,-2.20%,49.8,31,17.53%,2.67,9.24,0.024604701,15.71,-3.89%,8.65
45,9/30/12,11/15/12,Ruckus Wireless Inc,"Mnfr,whl Wi-Fi products",United States,RKUS,126,126,15,Common Shares,Yes,"Undisclosed Firm
Mitsui & Co. Global Investment, Ltd.
Sequoia Capital Operations LLC
WK Technology Fund
Motorola Mobility Ventures
Motorola Mobility Ventures
CROPS Inc (Pre-Reincorporation)
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
WK Technology Fund
Sequoia Capital Operations LLC
Investor Growth Capital Inc
Sutter Hill Ventures
Mobile Internet Capital Inc
Sequoia Capital Operations LLC
TELUS Ventures
Firelake Capital Management LLC
Meritech Capital Partners
Singtel Ventures (Singapore) Pte Ltd
Motorola Mobility Ventures
Motorola Mobility Ventures
Undisclosed Firm
Sequoia Capital Operations LLC
Investor Growth Capital AB
Investor Growth Capital AB
Sutter Hill Ventures
Sutter Hill Ventures
Sequoia Capital Operations LLC
T Telematik Vntre Holding GmbH
T Telematik Vntre Holding GmbH
WK Technology Fund
WK Technology Fund",Goldman Sachs,1,"74,784.7",NA,75.489,120.02,32.66,66.08,4.19,3.49%,0,12,0.00%,-15.47,12.68,-0.067610255,17.99,-18.33%,12.25
46,09/30/12,12/12/12,SolarCity Corp,Pvd solar installation svcs,United States,SCTY,92.0,92.0,8.0,Common Shares,Yes,"Soros Strategic Partners LP
Mayfield Fund LLC
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
DBL Partners
Generation Investment Management LLP
Draper Fisher Jurvetson International Inc
Undisclosed Firm
DBL Partners
Undisclosed Firm
Mayfield Fund LLC
Generation Investment Management LLP
Draper Fisher Jurvetson International Inc
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Generation Investment Management LLP
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
DBL Partners
Undisclosed Firm
Silver Lake Partners LP
Silver Lake Partners LP
Valor Equity Parters L P
DBL Partners
Undisclosed Firm
Undisclosed Firm
J. F. Shea Co Inc
Undisclosed Firm
Undisclosed Firm
Draper Fisher Jurvetson International Inc
Pliant Corp",,,"638,284.0",,,,,,,,,,,,,,,,
47,03/31/13,05/16/13,Tableau Software Inc,Develop prepackaged software,United States,DATA,254.2,254.2,31.0,Class A Shares,Yes,"Vista Equity Partners LLC
Vista Equity Partners LLC
InterWest Partners LLC
InterWest Partners LLC
InterWest Partners LLC
Storm Ventures LLC
InterWest Partners LLC
Undisclosed Firm
InterWest Partners LLC
InterWest Partners LLC
InterWest Partners LLC
Mayfield Fund LLC
Mayfield Fund LLC
Mayfield Fund LLC
Mayfield Fund LLC
Undisclosed Firm
Battery Ventures LP
Institutional Venture Partners
Institutional Venture Partners
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Battery Ventures LP
Battery Ventures LP
Storm Ventures LLC
Storm Ventures LLC
Vista Equity Partners LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Storm Ventures LLC
Institutional Venture Partners
Institutional Venture Partners
Sunbridge Partners Inc
Sunbridge Partners Inc
Battery Ventures LP",,,"962,687.0",,,,,,,,,,,,,,,,
48,03/31/13,05/16/13,Marketo Inc,Dvlp Internet software,United States,MKTO,78.8,78.8,13.0,Common Shares,Yes,"New Enterprise Associates Inc
New Enterprise Associates Inc
Meritech Capital Partners
Undisclosed Firm",,,"20,080.0",,,,,,,,,,,,,,,,
49,6/30/13,7/18/13,RetailMeNot Inc,Provide ecommerce services,United States,SALE,190.909,190.9,21,Common Shares,Yes,"Avp Management Services Inc
Avp Management Services Inc
Adams Street Partners LLC
Adams Street Partners LLC
Institutional Venture Partners
Adams Street Partners LLC
Institutional Venture Partners
Norwest Venture Partners
JP Morgan Investment Management Inc
GV Management Co LLC
GV Management Co LLC
Avp Management Services Inc
Norwest Venture Partners
Avp Management Services Inc
GV Management Co LLC
JP Morgan Investment Management Inc
Adams Street Partners LLC
Undisclosed Firm
Avp Management Services Inc
Avp Management Services Inc
Norwest Venture Partners
Norwest Venture Partners
Adams Street Partners LLC
Adams Street Partners LLC
Adams Street Partners LLC
Undisclosed Firm
Undisclosed Firm
Adams Street Partners LLC
Adams Street Partners LLC",Morgan Stanley,2,"266,249.8",NA,80.402,144.69,40.67,99.19,25.99,17.96%,37.85,44,9.98%,52.33,31.99,0.01888494,13.77,31.90%,27.700001
50,6/30/13,8/1/13,Control4 Corp,Mnfr wired automation prods,United States,CTRL,64,64,16,Common Shares,Yes,"Thomas Weisel Venture Partners LLC
Foundation Capital LLC
Foundation Capital LLC
Foundation Capital LLC
Foundation Capital LLC
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
Frazier Management LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Venture Partners LLC
Thomas Weisel Partners Group Inc
Undisclosed Firm
Mercato Management LLC
University Venture Fund
Foundation Capital LLC
Undisclosed Firm
Thomas Weisel Venture Partners LLC
Signal Peak Ventures
Sapphire Ventures LLC
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Signal Peak Ventures
Cisco Systems Inc
Undisclosed Firm
Signal Peak Ventures",Bank of America,1,"122,424.9",NA,93.376,109.51,20.18,53.51,-3.72,-3.40%,3.16,49,5.93%,45.75,23.32,0.058619171,12.94,25.00%,20
51,6/30/13,8/6/13,YuMe Inc,Pvd video advg tech services,United States,YUME,46.125,46.1,9,Common Shares,Yes,"Samsung Venture Investment Corp
Translink Capital LLC
Menlo Ventures
Samsung Venture Investment Corp
Duff Ackerman & Goodrich LLC
BV Venture Capital Investors VCI
Khosla Ventures LLC
Samsung Venture Investment Corp
Intel Capital Corp
Menlo Ventures
Translink Capital LLC
Intel Capital Corp
Translink Capital LLC
Accel Partners & Co Inc
WestSummit Capital Management Ltd
Khosla Ventures LLC
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
e.ventures
Menlo Ventures
Duff Ackerman & Goodrich LLC
Intel Capital Corp
Duff Ackerman & Goodrich LLC
e.ventures
Accel Partners & Co Inc
e.ventures
e.ventures
Khosla Ventures LLC
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
Khosla Ventures LLC
Khosla Ventures LLC
Accel Partners & Co Inc
Accel Partners & Co Inc
Duff Ackerman & Goodrich LLC
e.ventures
Khosla Ventures LLC
Menlo Ventures
e.ventures
Khosla Ventures LLC
Accel Partners & Co Inc",Citigroup,1,"60,465.1",NA,68.565,116.74,31.39,46.62,6.27,5.37%,0,73,0.00%,-22.11,7.01,0.035254645,12.72,9.00%,9.81
52,06/30/13,09/19/13,FireEye Inc,"Dvlp firewall,anti virus",United States,FEYE,303.5,303.5,20.0,Common Shares,Yes,"Norwest Venture Partners
Sequoia Capital Operations LLC
Norwest Venture Partners
Sequoia Capital Operations LLC
In Q Tel Inc
Norwest Venture Partners
Juniper Networks Inc
Norwest Venture Partners
Sequoia Capital Operations LLC
Silicon Valley Bancventures LP
Goldman Sachs & Co LLC
Goldman Sachs & Co LLC
Norwest Venture Partners
Sequoia Capital Operations LLC
Silicon Valley Bancventures LP
Juniper Networks Inc
Icon Ventures
Four Rivers Partners LP
Sequoia Capital Operations LLC
Norwest Venture Partners
Sequoia Capital Operations LLC
Sequoia Capital Operations LLC
Undisclosed Firm
Norwest Venture Partners
Icon Ventures
Norwest Venture Partners
Duff Ackerman & Goodrich LLC
Icon Ventures
Sequoia Capital Operations LLC
Duff Ackerman & Goodrich LLC
Silicon Valley Bancventures LP
Undisclosed Firm
Sequoia Capital Operations LLC",,,"880,832.5",,,,,,,,,,,,,,,,
53,7/31/13,10/15/13,Veeva Systems Inc,"Dvlp CRM,content mgmt software",United States,VEEV,260.9,260.9,20,Class A Shares,Yes,,Morgan Stanley,1,,NA,61.262,129.55,19.49,42.5,18.78,14.50%,4.45,7,3.95%,9.5,21.9,-0.00358171,18.66,85.80%,37.16
54,09/30/13,11/06/13,Twitter Inc,Pvd social networking svcs,United States,TWTR,1820.0,1820.0,26.0,Common Shares,Yes,Emergence Capital Partners LLC,,,"4,000.0",,,,,,,,,,,,,,,,
55,09/30/13,11/12/13,Chegg Inc,Internet Service Providers,United States,CHGG,187.5,187.5,12.5,Common Shares,Yes,"Undisclosed Firm
Mail.Ru Group Ltd
Spark Capital LP
Union Square Ventures LLC
Union Square Ventures LLC
Bezos Expeditions
Bezos Expeditions
Institutional Venture Partners
Spark Capital LP
Spark Capital LP
Institutional Venture Partners
Institutional Venture Partners
Institutional Venture Partners
Andreessen Horowitz LLC
Andreessen Horowitz LLC
Union Square Ventures LLC
Undisclosed Firm
Benchmark Capital
Benchmark Capital
Benchmark Capital
Undisclosed Firm
Undisclosed Firm
Benchmark Capital
Elliott Management Corp
Kleiner Perkins
Kleiner Perkins
Union Square Ventures LLC
Spark Capital LP
Bezos Expeditions
Undisclosed Firm
Union Square Ventures LLC
Undisclosed Firm
Spark Capital LP
Union Square Ventures LLC
Charles River Ventures LLC
Spark Capital LP
Crossmark Capital
Rizvi Traverse Management LLC
Crossmark Capital
Crossmark Capital
Benchmark Capital
Union Square Ventures LLC
Undisclosed Firm
Andreessen Horowitz LLC
Union Square Ventures LLC
Union Square Ventures LLC
Spark Capital LP
Benchmark Capital
Mail.Ru Group Ltd
Undisclosed Firm
Insight Venture Management LLC
Insight Venture Management LLC
Insight Venture Management LLC
Undisclosed Firm
Undisclosed Firm
Kleiner Perkins
Undisclosed Firm",,,"2,144,813.5",,,,,,,,,,,,,,,,
56,9/30/13,2/13/14,Inogen Inc,Mnfr respiratory equipment,United States,INGN,70.588,70.6,16,Common Shares,Yes,"Foundation Capital LLC
Foundation Capital LLC
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Lucas Venture Group
Gabriel Venture Partners
Insight Venture Management LLC
Insight Venture Management LLC
Insight Venture Management LLC
Gabriel Venture Partners
Gabriel Venture Partners
Gabriel Venture Partners
Primera Capital
Primera Capital
Primera Capital
Floodgate Fund LP
Floodgate Fund LP
Foundation Capital LLC
Kleiner Perkins
Insight Venture Management LLC
Gabriel Venture Partners
Undisclosed Firm
Gabriel Venture Partners
Undisclosed Firm
Gabriel Venture Partners
Floodgate Fund LP
Undisclosed Firm
Primera Capital
Kleiner Perkins
Gabriel Venture Partners
Insight Venture Management LLC
Undisclosed Firm
Insight Venture Management LLC
Kleiner Perkins
Gabriel Venture Partners
Undisclosed Firm
Kleiner Perkins
Kleiner Perkins
Kleiner Perkins
Kleiner Perkins
Kleiner Perkins
Millennium TVP Management Co LLC
Undisclosed Firm",JP Morgan,0,"238,015.5",NA,30.634,48.58,NA,23.12,0.56,1.15%,6.65,55,10.92%,18.94,19.03,-0.003593418,14.14,-5.31%,15.15
57,3/31/14,4/3/14,GrubHub Inc,Pvd online food delivery svcs,United States,GRUB,192.546,192.5,26,Common Shares,Yes,"Accuitive Medical Ventures LLC
Versant Venture Management LLC
Arboretum Ventures Inc
Undisclosed Firm
Novo Holdings A/S
Arboretum Ventures Inc
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Avalon Ventures, LLC
Accuitive Medical Ventures LLC
Arboretum Ventures Inc
Novo Holdings A/S
Novo Holdings A/S
Versant Venture Management LLC
Versant Venture Management LLC
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Avalon Ventures, LLC
Arboretum Ventures Inc
Novo Holdings A/S
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Versant Venture Management LLC
Undisclosed Firm
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Accuitive Medical Ventures LLC
Versant Venture Management LLC
Versant Venture Management LLC
Novo Holdings A/S
Avalon Ventures, LLC
Arboretum Ventures Inc
Versant Venture Management LLC
Novo Holdings A/S
Versant Venture Management LLC
Accuitive Medical Ventures LLC
Arboretum Ventures Inc",Citigroup,1,"80,833.4",NA,82.299,137.1,37.35,122.25,6.75,4.92%,1.35,70,0.17%,34.81,35.05,0.005597628,13.37,30.77%,34
58,03/31/14,04/03/14,Opower Inc,Software Publishers,United States,OPWR,115.9,115.9,19.0,Common Shares,Yes,"T. Rowe Price Threshold Partnerships
Greenspring Associates Inc
Amicus Capital LLC
Amicus Capital LLC
Origin Ventures LLC
Undisclosed Firm
Origin Ventures LLC
Origin Ventures LLC
Mesirow Financial Private Equity Inc
Lightspeed Management Company LLC
Duff Ackerman & Goodrich LLC
Duff Ackerman & Goodrich LLC
Leo Capital Holdings LLC
Leo Capital Holdings LLC
Benchmark Capital
Benchmark Capital
Benchmark Capital
Amicus Capital LLC",,,"87,377.1",,,,,,,,,,,,,,,,
59,03/31/14,05/14/14,Zendesk Inc,Software Publishers,United States,ZEN,100.0,100.0,9.0,Common Shares,Yes,"New Enterprise Associates Inc
MHS Capital Management LLC
Accel Partners & Co Inc
Kleiner Perkins
New Enterprise Associates Inc",,,"65,545.0",,,,,,,,,,,,,,,,
60,3/31/14,6/25/14,GoPro Inc,Photographic and Photocopying Equipment Manufacturing,United States,GPRO,427.2,427.2,24,Class A Shares,Yes,"Institutional Venture Partners
Matrix Partners LP
Benchmark Capital
Charles River Ventures LLC
GGV Capital
Benchmark Capital
Charles River Ventures LLC
Charles River Ventures LLC
Redpoint Ventures
Goldman Sachs & Co LLC
Benchmark Capital
Silicon Valley Bancventures LP
Charles River Ventures LLC
GGV Capital
Index Ventures SA
Matrix Partners LP",JP Morgan,2,"69,999.9",NA,526.016,985.74,157.77,263.08,60.58,6.15%,53.32,39,15.06%,156.42,61.54,0.02119882,11.59,30.58%,31.34
61,09/30/14,10/01/14,Wayfair Inc,Electronic Shopping,United States,W,319.0,319.0,29.0,Class A Shares,Yes,"Steamboat Ventures
Riverwood Capital Group LLC
Sageview Capital LP
Walden International
U.S. Venture Partners",,,,,,,,,,,,,,,,,,,
62,09/30/14,12/11/14,Hortonworks Inc,Develop prepackaged software,United States,HDP,100.0,100.0,16.0,Common Shares,Yes,"HarbourVest Partners LLC
HarbourVest Partners LLC
Battery Ventures LP
Battery Ventures LP
Spark Capital LP
Spark Capital LP
T. Rowe Price Threshold Partnerships
Undisclosed Firm
Undisclosed Firm
Great Hill Equity Partners LLC
Great Hill Equity Partners LLC
HarbourVest Partners LLC
Great Hill Equity Partners LLC",,,"277,485.9",,,,,,,,,,,,,,,,
63,,1/22/15,Box Inc,Software Publishers,United States,BOX,175,175,14,Class A Shares,Yes,"Undisclosed Firm
Benchmark Capital
Undisclosed Firm
Passport Capital LLC
BlackRock Inc
Undisclosed Firm
Benchmark Capital
Index Ventures SA
Undisclosed Firm
Lehman Brothers Venture Partners LP
Undisclosed Firm
Undisclosed Firm
Lehman Brothers Venture Partners LP
Undisclosed Firm
Index Ventures SA
Benchmark Capital
Undisclosed Firm
Index Ventures SA",Morgan Stanley,2,"231,088.0",NA,58.797,124.19,171.19,257,-168.56,-135.73%,34,27,14.44%,18.79,16.63,-0.007942209,16.4,65.93%,23.23
64,12/31/14,3/5/15,MaxPoint Interactive Inc,Custom Computer Programming Services,United States,MXPT,74.75,74.8,11.5,Common Shares,Yes,"U.S. Venture Partners
Draper Fisher Jurvetson International Inc
Bessemer Venture Partners
Draper Fisher Jurvetson International Inc
Social+Capital Partnership
Mail.Ru Group Ltd
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Undisclosed Firm
Itochu Technology Inc
Undisclosed Firm
Telstra Corporation Ltd
U.S. Venture Partners
Scale Venture Partners
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
Scale Venture Partners
U.S. Venture Partners
General Atlantic LLC
Undisclosed Firm
U.S. Venture Partners
Scale Venture Partners
Draper Fisher Jurvetson International Inc
General Atlantic LLC
U.S. Venture Partners
Draper Fisher Jurvetson International Inc
New Enterprise Associates Inc
Sapphire Ventures LLC
Undisclosed Firm
Bessemer Venture Partners
Andreessen Horowitz LLC
Hercules Capital Inc
Draper Fisher Jurvetson International Inc
General Atlantic LLC
Scale Venture Partners
U.S. Venture Partners
Draper Fisher Jurvetson International Inc
U.S. Venture Partners
Draper Fisher Jurvetson International Inc
Draper Fisher Jurvetson International Inc
Social+Capital Partnership
Scale Venture Partners
Sapphire Ventures LLC
New Enterprise Associates Inc
Draper Fisher Jurvetson International Inc
Bessemer Venture Partners
Undisclosed Firm
Bessemer Venture Partners
Andreessen Horowitz LLC
Scale Venture Partners
Emergence Capital Partners LLC
Meritech Capital Partners
Draper Fisher Jurvetson International Inc
U.S. Venture Partners
Tarrant Capital IP LLC
Undisclosed Firm
Draper Fisher Jurvetson International Inc",Goldman Sachs,2,"564,032.4",NA,35.057,66.07,20.48,34.36,-0.19,-0.29%,17.76,67,24.10%,-56.52,5,0.027436102,14.04,-14.87%,9.79
