"Date
of
Finan-
cial
Period
Before
Offer","Issue
Date",Issuer,Business Description,Nation,"Ticker
Symbol","Primary
Exchange
Where
Issuer's
Stock
Trades","Principal
Amount
($ mil)","Proceeds
Amt - in 
this Mkt
($ mil)","   Offer
   Price","Type
of
Security","Amt Filed - 
in this Mkt 
($ mil)","IPO
Flag
(Y/N)","Total Revenues
Before Offering
(US$ mil)",Net Income,Net Income Margin,Selling and Marketing,Total Operating Expenses,Long-Term Debt,"  Total
  Assets
  Before
   the
 Offering
  ($ mil)","Market
Value
Before
Offer
($ mil)"," Market
 Value
  Pro
 Forma
 Offer
($ mil)","   Book
  Value
   Per
  Share","IPO:
Offer
Date","IPO
Flag
(Y/N)","% Change
Stock
Price
180 Days
After
Offer","  Stock
  Price
 180 Days
  After
  Offer"
9/30/14,11/19/14,Neothetics Inc,Pharmaceutical Preparation Manufacturing,United States,NEOT,Nasdaq,65.1,65.1,14,Common Shares,63.3,Yes,,,,,,,16.2,125.6,190.7,,11/19/14,Yes,-57.29,5.98
9/30/14,12/18/14,Juno Therapeutics Inc,Biological Product (Except Diagnostic) Manufacturing,United States,,,264.55,264.6,24,Common Shares,150,Yes,,,,,,,249.4,"1,606.00","1,910.20",,12/18/14,Yes,113.88,51.33
,1/22/15,Box Inc,Software Publishers,United States,BOX,New York,175,175,14,Class A Shares,250,Yes,,,,,,,,"1,455.20","1,656.50",,1/22/15,Yes,18.79,16.63
12/31/14,1/28/15,Flex Pharma Inc,Pharmaceutical Preparation Manufacturing,United States,FLKS,Nasdaq,86.4,86.4,16,Common Shares,60,Yes,,,,,,,35.6,198.5,286.3,6.15,1/28/15,Yes,-0.56,15.91
9/30/14,2/17/15,Inotek Pharms Corp,Biotechnology company,United States,ITEK,Nasdaq,40.002,40,6,Common Shares,86.3,Yes,,,,,,,6.5,55.3,97.1,,2/17/15,Yes,152,15.12
12/31/14,3/5/15,MaxPoint Interactive Inc,Custom Computer Programming Services,United States,MXPT,New York,74.75,74.8,11.5,Common Shares,75,Yes,106.5,,,,,,73.7,219.3,294,,3/5/15,Yes,-56.52,5
12/31/14,3/25/15,Solaredge Tech Inc,Pvd photovoltaic solutions svc,United States,,,126,126,18,Common Shares,125,Yes,215.4,,,,,,133.3,559.2,704.1,3.85,3/25/15,Yes,39.94,25.19
12/31/14,4/15/15,KemPharm Inc,Pharmaceutical Preparation Manufacturing,United States,KMPH,Nasdaq,56,56,11,Common Shares,57.5,Yes,,,,,,,13.7,92.1,156.5,,4/15/15,Yes,57.09,17.28
12/31/14,5/14/15,Arcadia Biosciences Inc,"Mnfr,dvlp farming biotech sys",United States,RKDA,Nasdaq,65.6,65.6,8,Common Shares,86.3,Yes,7,,,,,,24.9,279.8,348,,5/14/15,Yes,-64.63,2.83
3/31/15,6/4/15,Evolent Health Inc,Pvd population mgmt svcs,United States,EVH,New York,195.5,195.5,17,Class A Shares,100,Yes,117.9,,,,,,76.4,973.3,"1,168.80",9.52,6/4/15,Yes,-0.18,16.97
3/31/15,6/17/15,Fitbit Inc,Electronic Computer Manufacturing,United States,,,731.5,731.5,20,Class A Shares,100,Yes,973.4,,,,,,669.3,"3,645.30","4,093.00",3.53,6/17/15,Yes,49.2,29.84
3/31/15,6/24/15,Glaukos Corp,Surgical and Medical Instrument Manufacturing,United States,GKOS,Nasdaq,108,108,18,Common Shares,86.3,Yes,52,,,,,,28.3,438.5,562.7,,6/24/15,Yes,40.06,25.21
3/31/15,6/25/15,AppFolio Inc,Software Publishers,United States,APPF,Nasdaq,74.4,74.4,12,Class A Shares,100,Yes,53.7,,,,,,36,239.1,324.6,,6/25/15,Yes,36.92,16.43
,6/30/15,ConforMIS Inc,Surgical Appliance and Supplies Manufacturing,United States,CFMS,Nasdaq,135,135,15,Common Shares,172.5,Yes,,,,,,,,450.9,606.2,,6/30/15,Yes,16.8,17.52
3/31/15,7/1/15,Natera Inc,Diagnostic Imaging Centers,United States,NTRA,Nasdaq,180,180,18,Common Shares,100,Yes,179.4,,,,,,120.3,691.7,887.9,,7/1/15,Yes,-40,10.8
6/30/15,7/22/15,Neos Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,NEOS,Nasdaq,72,72,15,Common Shares,69,Yes,,,,,,,55.9,145.3,228.1,5.72,7/22/15,Yes,-32.27,10.16
3/31/15,8/5/15,Aimmune Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,AIMT,Nasdaq,160,160,16,Common Shares,115,Yes,,,,,,,65.9,490.9,674.9,,8/5/15,Yes,-8.88,14.58
6/30/15,9/17/15,Penumbra Inc,Surgical and Medical Instrument Manufacturing,United States,PEN,New York,120,120,30,Common Shares,115,Yes,149.1,,,,,,128.1,781.2,919.2,7.46,9/17/15,Yes,49.37,44.81
6/30/15,9/30/15,Edge Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,EDGE,Nasdaq,80.467,80.5,11,Common Shares,115,Yes,,,,,,,62.7,222,314.5,,9/30/15,Yes,-23.272,8.44
7/31/15,10/6/15,Pure Storage Inc,Mnfr data storage equip,United States,PSTG,New York,425,425,17,Class A Shares,300,Yes,,,,,,,332.4,"2,721.00","3,209.70",3.09,10/6/15,Yes,-15.35,14.39
3/31/15,10/15/15,Cerecor Inc,Mnfr pharmaceutical preparations,United States,CERC,Nasdaq,26,26,6.5,Common Shares,31.6,Yes,,,,,,,9.2,30.1,60,,10/15/15,Yes,-43.08,3.7
6/30/15,10/21/15,Dimension Therapeutics Inc,Biological Product (Except Diagnostic) Manufacturing,United States,,,71.5,71.5,13,Common Shares,115,Yes,5.9,,,,,,88.1,251.9,324.8,,10/21/15,Yes,-35.85,8.34
6/30/15,10/28/15,MyoKardia Inc,Pharmaceutical Preparation Manufacturing,United States,MYOK,Nasdaq,54.375,54.4,10,Common Shares,86.3,Yes,13,,,,,,77.7,208.1,270.6,,10/28/15,Yes,23,12.3
9/30/15,11/10/15,Equity Bancshares Inc,Commercial Banking,United States,EQBK,Nasdaq,43.65,43.7,22.5,Class A Shares,35,Yes,59.5,,,,,,"1,414.10",111.1,154.7,21.97,11/10/15,Yes,-4.98,21.38
6/30/15,11/10/15,Voyager Therapeutics Inc,Biological Product (Except Diagnostic) Manufacturing,United States,VYGR,Nasdaq,70,70,14,Common Shares,86.3,Yes,7.5,,,,,,173.8,294.5,375,,11/10/15,Yes,-12.714,12.22
9/30/15,12/9/15,Atlassian Corp Plc,Software Publishers,United States,TEAM,Nasdaq,462,462,21,Class A Shares,250,Yes,353.4,,,,,,325,"3,920.20","4,451.50",3.32,12/9/15,Yes,11.714,23.46
9/30/15,2/10/16,AveXis Inc,Diagnostic Imaging Centers,United States,AVXS,Nasdaq,95,95,20,Common Shares,,Yes,,,,,,,70.3,353,458.6,,2/10/16,Yes,69.45,33.89
12/31/15,3/2/16,Syndax Pharmaceuticals Inc,Pharmaceutical Preparation Manufacturing,United States,SNDX,Nasdaq,52.8,52.8,12,Common Shares,,Yes,0.6,,,,,,89.9,155.7,213.4,,3/2/16,Yes,18.249,14.19
12/31/15,3/22/16,Corvus Pharmaceuticals Inc,Pharmaceutical Preparation Manufacturing,United States,CRVS,Nasdaq,70.5,70.5,15,Common Shares,,Yes,,,,,,,98.5,235.6,306.1,,3/22/16,Yes,-1.67,14.75
12/31/15,5/5/16,Intellia Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,NTLA,Nasdaq,108,108,18,Common Shares,,Yes,6,,,,,,82.1,468.7,484.9,,5/5/16,Yes,-27.83,12.99
3/31/16,5/12/16,Acacia Communications Inc,Semiconductor and Related Device Manufacturing,United States,ACIA,Nasdaq,103.5,103.5,23,Common Shares,125,Yes,276.3,,,,,,149.3,716.6,820.1,6.21,5/12/16,Yes,217.48,73.02
3/31/16,5/17/16,PhaseRx Inc,Research and Development in Biotechnology,United States,PZRX,Nasdaq,18.5,18.5,5,Common Shares,,Yes,,,,,,,2.1,2.7,57.9,,5/17/16,Yes,-77.2,1.14
3/31/16,5/25/16,Reata Pharmaceuticals Inc,Pharmaceutical Preparation Manufacturing,United States,RETA,Nasdaq,60.5,60.5,11,Class A Shares,,Yes,49.8,,,,,,64.7,,75,,5/25/16,Yes,153.82,27.92
3/31/16,6/1/16,NantHealth Inc,Computer Facilities Management Services,United States,NH,New York,91,91,14,Common Shares,,Yes,66,,,,,,601.9,"1,599.30","1,690.30",,6/1/16,Yes,-14.714,11.94
3/31/16,6/21/16,Selecta Biosciences Inc,Biological Product (Except Diagnostic) Manufacturing,United States,SELB,Nasdaq,70,70,14,Common Shares,,Yes,7.1,,,,,,34.7,119.2,250.6,,6/21/16,Yes,22.5,17.15
9/30/15,7/19/16,Audentes Therapeutics Inc,Biological Product (Except Diagnostic) Manufacturing,United States,BOLD,Nasdaq,75,75,15,Common Shares,,Yes,,,,,,,59.9,240.3,325.4,,7/19/16,Yes,19.27,17.89
6/30/16,7/22/16,TPI Composites Inc,Turbine and Turbine Generator Set Units Manufacturing,United States,TPIC,Nasdaq,68.75,68.8,11,Common Shares,150,Yes,710.9,,,,,,352.6,292,371.1,3.25,7/22/16,Yes,62.27,17.85
3/31/16,8/10/16,Protagonist Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,PTGX,Nasdaq,90,90,12,Common Shares,75,Yes,,,,,,,31.9,105.9,195.9,,8/10/16,Yes,49.17,17.9
3/31/16,8/11/16,Airgain Inc,Wireless Telecommunications Carriers (Except Satellite),United States,AIRG,Nasdaq,12,12,8,Common Shares,17.3,Yes,30.6,,,,,,13.6,45.9,57.9,,8/11/16,Yes,104.13,16.33
6/30/16,9/15/16,Everbridge Inc,Computer Systems Design Services,United States,EVBG,Nasdaq,90,90,12,Common Shares,,Yes,67,,,,,,48.9,248.1,323.1,,9/15/16,Yes,49.58,17.95
7/31/14,9/29/16,Nutanix Inc,Software Publishers,United States,NTNX,Nasdaq,237.92,237.9,16,Class A Shares,200,Yes,127.1,,,,,,119,"1,958.50","2,232.10",,9/29/16,Yes,17.31,18.77
6/30/16,10/5/16,Obalon Therapeutics Inc,Surgical Appliance and Supplies Manufacturing,United States,OBLN,Nasdaq,75,75,15,Common Shares,,Yes,3.9,,,,,,20.1,164.3,239.3,,10/5/16,Yes,-29.733,10.54
6/30/16,10/7/16,EverSpin Technologies,"Mnfr memory,sensors",United States,MRAM,Nasdaq,40,40,8,Common Shares,,Yes,26.8,,,,,,13.7,51.3,91.3,,10/7/16,Yes,6.25,8.5
9/25/16,10/27/16,Quantenna Communications Inc,Internet Service Providers,United States,QTNA,Nasdaq,107.2,107.2,16,Common Shares,100,Yes,117,,,,,,55.1,401.2,524.5,,10/27/16,Yes,9.624,17.54
6/30/16,12/8/16,SenesTech Inc,Nursery and Garden Centers,United States,SNES,Nasdaq,15,15,8,Common Shares,28.8,Yes,0.3,,,,,,4.5,65.7,80.7,,12/8/16,Yes,-31.25,5.5
9/30/16,1/26/17,Jounce Therapeutics Inc,Biological Product (Except Diagnostic) Manufacturing,United States,JNCE,Nasdaq,101.84,101.8,16,Common Shares,,Yes,16.9,,,,,,280.2,396.8,513.9,,1/26/17,Yes,-18.999,12.96
9/30/15,4/5/17,Elevate Credit Inc,Miscellaneous Financial Investment Activities,United States,ELVT,New York,80.6,80.6,6.5,Common Shares,,Yes,394.3,,,,,,337.8,176.1,268.8,,4/5/17,Yes,-6.77,6.06
12/31/16,5/4/17,Ovid Therapeutics Inc,Pharmaceutical Preparation Manufacturing,United States,OVID,Nasdaq,75,75,15,Common Shares,,Yes,,,,,,,53,294,369,,5/4/17,Yes,-56.6,6.51
3/31/17,6/27/17,Mersana Therapeutics Inc,Biotechnology company,United States,MRSN,Nasdaq,75,75,15,Common Shares,,Yes,25.8,,,,,,95,264.7,339.7,,6/27/17,Yes,9.67,16.45
3/31/17,7/19/17,Kala Pharmaceuticals Inc,Biotechnology Company,United States,KALA,Nasdaq,90,90,15,Common Shares,,Yes,,,,,,,37.6,259.3,362.8,,7/19/17,Yes,9.8,16.47
3/31/17,7/26/17,Sienna Biopharmaceuticals Inc,Biotechnology Company,United States,SNNA,Nasdaq,65,65,15,Common Shares,,Yes,,,,,,,61.5,233.3,308.1,,7/26/17,Yes,21.6,18.24
,7/27/17,Redfin Corp,Other Real Estate Services,United States,RDFN,Nasdaq,138.465,138.5,15,Common Shares,,Yes,,,,,,,,"1,054.60","1,213.80",,7/27/17,Yes,47.47,22.12
6/30/17,9/19/17,Techpoint Inc,Semiconductor and Related Device Manufacturing,United States,6697,Mothers,8.857,8.9,650,JDR,9,Yes,"3,152.60",,,,,,"1,898.80",25.8,36,417.09,,Yes,199.384,18.213
9/30/17,10/11/17,Cargurus Inc,"Data Processing, Hosting, and Related Services",United States,CARG,Nasdaq,150.4,150.4,16,Class A Shares,131.6,Yes,287,,,,,,121.3,"1,194.30","1,256.90",1.62,10/11/17,Yes,137.88,38.06
6/30/17,10/11/17,Restoration Robotics Inc,Surgical and Medical Instrument Manufacturing,United States,HAIR,Nasdaq,25.025,25,7,Common Shares,25,Yes,20.1,,,,,,18.2,175,200.1,,10/11/17,Yes,-31.43,4.8
6/30/17,10/12/17,Optinose Inc,Pharmaceutical Preparation Manufacturing,United States,OPTN,Nasdaq,120,120,16,Common Shares,,Yes,,,,,,,64,466.2,604.2,,10/12/17,Yes,23.374,19.74
7/31/17,10/18/17,MongoDB,Software Reproducing,United States,MDB,Nasdaq,192,192,24,Class A Shares,,Yes,124.2,,,,,,157.8,1.6,222.4,,10/18/17,Yes,59.791,38.35
9/30/17,11/9/17,Bandwidth Inc,Internet Service Providers,United States,BAND,Nasdaq,80,80,20,Class A Shares,,Yes,159.3,,,,,,63.3,80.7,160.7,9.55,11/9/17,Yes,71.05,34.21
6/30/17,11/14/17,SendGrid Inc,Software Publishers,United States,SEND,New York,131.2,131.2,16,Common Shares,,Yes,95.6,,,,,,73.4,521.5,672.3,,11/14/17,Yes,63.75,26.2
9/30/17,11/15/17,Arsanis Inc,Biological Product (Except Diagnostic) Manufacturing,United States,ASNS,Nasdaq,40,40,10,Common Shares,,Yes,,,,,,,37.2,5.1,51.1,,11/15/17,Yes,99.9,19.99
7/29/17,11/16/17,Stitch Fix Inc,Mail-Order Houses,United States,SFIX,Nasdaq,120,120,15,Class A Shares,,Yes,977.1,,,,,,237.2,"1,311.20","1,449.20",,11/16/17,Yes,39.47,20.92
9/30/17,12/14/17,Casa Systems Inc,Mnfr cable edge devices,United States,CASA,Nasdaq,78,78,13,Common Shares,,Yes,332.8,,,,,,372.4,87.7,177.4,,12/14/17,Yes,41.307,18.37
9/30/17,1/24/18,Menlo Therapeutics Inc,Mnfr pharm,United States,MNLO,Nasdaq,119,119,17,Common Shares,,Yes,2.3,,,,,,75.8,253.8,390.6,,1/24/18,Yes,-54.88,7.67
9/30/17,1/25/18,resTORbio Inc,Pharmaceutical Preparation Manufacturing,United States,TORC,Nasdaq,85,85,15,Common Shares,,Yes,,,,,,,4.2,322.9,420.7,,1/25/18,Yes,-10.2,13.47
9/30/17,2/9/18,Cardlytics Inc,Provide marketing services,United States,CDLX,Nasdaq,70.2,70.2,13,Common Shares,,Yes,127.5,,,,,,93.4,183.6,259.2,,2/9/18,Yes,44.769,18.82
3/31/18,4/25/18,nLIGHT Inc,Semiconductor and Related Device Manufacturing,United States,LASR,Nasdaq,96,96,16,Common Shares,,Yes,151.2,,,,,,116.2,"2,209.70","2,305.70",1.18,4/25/18,Yes,12.5,18
1/31/18,4/26/18,DocuSign Inc,Develop Internet software,United States,DOCU,Nasdaq,629.3,629.3,29,Common Shares,,Yes,518.5,,,,,,620,"3,945.40","4,505.60",,4/26/18,Yes,35.07,39.17
,5/23/18,Kiniksa Pharmaceuticals LTD,Pharmaceutical Preparation Manufacturing,United States,KNSA,Nasdaq,152.6,152.6,18,Class A Shares,,Yes,,,,,,,,212.7,383.4,,5/23/18,Yes,-9.22,16.34
,6/8/18,Meiragtx Holdings Plc,"Research and Development in The Physical, Engineering and Lifesciences (Except Biotechnology)",United States,MGTX,Nasdaq,75,75,15,Ordinary Shares,,Yes,,,,,,,,332.8,407.8,,6/8/18,Yes,-17,12.45
3/31/18,6/20/18,AVROBIO Inc,Research and Development in Biotechnology,United States,AVRO,Nasdaq,99.711,99.7,19,Common Shares,,Yes,,,,,,,60.2,340.1,454.8,,6/20/18,Yes,12.26,21.33
3/31/18,6/20/18,Magenta Therapeutics,Research and Development in Biotechnology,United States,MGTA,Nasdaq,100,100,15,Common Shares,,Yes,,,,,,,46.1,415.6,515.6,,6/20/18,Yes,-58.2,6.27
6/30/18,7/17/18,"Coastal Financial Corp,Everett",Bank holding company,United States,CCB,Nasdaq,41.325,41.3,14.5,Common Shares,,Yes,38.6,,,,,,848.7,128.9,166.3,9.18,7/17/18,Yes,1.793,14.76
3/31/18,7/18/18,Constellation Pharm Inc,Biotechnology company,United States,CNST,Nasdaq,60,60,15,Common Shares,86.3,Yes,,,,,,,75.1,325.5,385.5,,7/18/18,Yes,-59.8,6.03
3/31/18,7/24/18,Aquestive Therapeutics Inc,Mnfr pharmaceuticals,United States,AQST,Nasdaq,67.5,67.5,15,Common Shares,69,Yes,73.9,,,,,,46.1,300,373.9,,7/24/18,Yes,-53.866,6.92
3/31/18,8/1/18,Sonos Inc,Dvlp digital music software,United States,SONO,Nasdaq,208.333,208.3,15,Common Shares,,Yes,"1,092.80",,,,,,350.7,"1,392.40","1,507.00",,8/1/18,Yes,-25.333,11.2
6/30/18,9/13/18,Principia Biopharma Inc,Pharmaceutical Preparation Manufacturing,United States,PRNB,Nasdaq,106.25,106.3,17,Common Shares,,Yes,29.3,,,,,,32.4,280.1,402.3,6.72,9/13/18,Yes,115.06,36.56
9/30/18,2/7/19,Gossamer Bio Inc,Research and Development in Biotechnology,United States,GOSS,Nasdaq,276,276,16,Common Shares,264.5,Yes,,,,,,,262.2,736.4,"1,053.80",,2/7/19,Yes,24.19,19.87
12/31/18,2/26/19,Super League Gaming Inc,Sports Teams and Clubs,United States,SLGG,Nasdaq,25,25,11,Common Shares,25,Yes,1,,,,,,5,50.7,75.7,,2/26/19,Yes,-46.82,5.85
1/31/19,4/17/19,Zoom Video Communications Inc,Software Publishers,United States,ZM,Nasdaq,751.304,751.3,36,Class A Shares,,Yes,330.5,,,,,,354.6,,,,4/17/19,Yes,97.53,71.11
,,Uber,,,,,,,,,,,,,,,,,,,,,,,,
,,Lyft,,,,,,,,,,,,,,,,,,,,,,,,
,,CloudFlare,,,,,,,,,,,,,,,,,,,,,,,,
,,Peloton,,,,,,,,,,,,,,,,,,,,,,,,
,,DataDog,,,,,,,,,,,,,,,,,,,,,,,,
,,Palantir,,,,,,,,,,,,,,,,,,,,,,,,
,,Snap,,,,,,,,,,,,,,,,,,,,,,,,
,,Cloudera,,,,,,,,,,,,,,,,,,,,,,,,
,,Alteryx,,,,,,,,,,,,,,,,,,,,,,,,
,,Okta,,,,,,,,,,,,,,,,,,,,,,,,
,,Mulesoft,,,,,,,,,,,,,,,,,,,,,,,,
